config,Peak dynamic,CPI,energy,EDP
034_LSQ_01_RS_16_WS_016_DP_08_CM_01,12.676600,2.439024,0.067049,0.006272
035_LSQ_01_RS_16_WS_016_DP_08_CM_04,12.682800,2.380952,0.066363,0.006144
036_LSQ_01_RS_16_WS_016_DP_08_CM_08,12.683600,2.380952,0.066255,0.006124
043_LSQ_01_RS_16_WS_064_DP_08_CM_01,11.131100,2.325581,0.177860,0.016205
044_LSQ_01_RS_16_WS_064_DP_08_CM_04,11.132200,2.325581,0.177666,0.016157
045_LSQ_01_RS_16_WS_064_DP_08_CM_08,11.132100,2.325581,0.177618,0.016147
061_LSQ_01_RS_32_WS_016_DP_08_CM_01,12.676300,2.439024,0.067115,0.006284
062_LSQ_01_RS_32_WS_016_DP_08_CM_04,12.682400,2.380952,0.066406,0.006152
063_LSQ_01_RS_32_WS_016_DP_08_CM_08,12.682400,2.380952,0.066403,0.006151
070_LSQ_01_RS_32_WS_064_DP_08_CM_01,11.135900,2.325581,0.177025,0.016000
071_LSQ_01_RS_32_WS_064_DP_08_CM_04,11.135900,2.325581,0.177053,0.016006
072_LSQ_01_RS_32_WS_064_DP_08_CM_08,11.135500,2.325581,0.177114,0.016022
088_LSQ_08_RS_01_WS_016_DP_08_CM_01,12.484900,3.571429,0.098281,0.013475
089_LSQ_08_RS_01_WS_016_DP_08_CM_04,12.484800,3.571429,0.098364,0.013498
090_LSQ_08_RS_01_WS_016_DP_08_CM_08,12.484900,3.571429,0.098285,0.013477
097_LSQ_08_RS_01_WS_064_DP_08_CM_01,10.922000,3.571429,0.230206,0.031531
098_LSQ_08_RS_01_WS_064_DP_08_CM_04,10.922100,3.571429,0.230229,0.031539
099_LSQ_08_RS_01_WS_064_DP_08_CM_08,10.921500,3.571429,0.230486,0.031627
115_LSQ_08_RS_16_WS_016_DP_08_CM_01,12.925500,1.694915,0.047454,0.003142
116_LSQ_08_RS_16_WS_016_DP_08_CM_04,13.010400,1.562500,0.043171,0.002600
117_LSQ_08_RS_16_WS_016_DP_08_CM_08,13.016300,1.538462,0.042909,0.002569
124_LSQ_08_RS_16_WS_064_DP_08_CM_01,11.420500,1.612903,0.144892,0.009015
125_LSQ_08_RS_16_WS_064_DP_08_CM_04,11.607800,1.333333,0.132804,0.006858
126_LSQ_08_RS_16_WS_064_DP_08_CM_08,11.608200,1.333333,0.132747,0.006850
142_LSQ_08_RS_32_WS_016_DP_08_CM_01,12.926700,1.694915,0.047399,0.003134
143_LSQ_08_RS_32_WS_016_DP_08_CM_04,13.009800,1.562500,0.043204,0.002604
144_LSQ_08_RS_32_WS_016_DP_08_CM_08,13.015900,1.538462,0.042932,0.002571
151_LSQ_08_RS_32_WS_064_DP_08_CM_01,11.422200,1.612903,0.144722,0.008984
152_LSQ_08_RS_32_WS_064_DP_08_CM_04,11.695900,1.234568,0.128376,0.006133
153_LSQ_08_RS_32_WS_064_DP_08_CM_08,11.697700,1.234568,0.128362,0.006128
169_LSQ_16_RS_01_WS_016_DP_08_CM_01,12.485000,3.571429,0.098202,0.013454
170_LSQ_16_RS_01_WS_016_DP_08_CM_04,12.484900,3.571429,0.098232,0.013462
171_LSQ_16_RS_01_WS_016_DP_08_CM_08,12.485200,3.571429,0.098170,0.013445
178_LSQ_16_RS_01_WS_064_DP_08_CM_01,10.922100,3.571429,0.230165,0.031518
179_LSQ_16_RS_01_WS_064_DP_08_CM_04,10.921900,3.571429,0.230380,0.031588
180_LSQ_16_RS_01_WS_064_DP_08_CM_08,10.922100,3.571429,0.230165,0.031518
196_LSQ_16_RS_16_WS_016_DP_08_CM_01,12.925800,1.694915,0.047434,0.003139
197_LSQ_16_RS_16_WS_016_DP_08_CM_04,13.010100,1.562500,0.043210,0.002605
198_LSQ_16_RS_16_WS_016_DP_08_CM_08,13.016100,1.538462,0.042900,0.002568
205_LSQ_16_RS_16_WS_064_DP_08_CM_01,11.421200,1.612903,0.144850,0.009006
206_LSQ_16_RS_16_WS_064_DP_08_CM_04,11.609000,1.333333,0.132748,0.006847
207_LSQ_16_RS_16_WS_064_DP_08_CM_08,11.608700,1.333333,0.132780,0.006852
223_LSQ_16_RS_32_WS_016_DP_08_CM_01,12.926300,1.694915,0.047441,0.003140
224_LSQ_16_RS_32_WS_016_DP_08_CM_04,13.009400,1.562500,0.043211,0.002605
225_LSQ_16_RS_32_WS_016_DP_08_CM_08,13.016800,1.538462,0.042901,0.002568
232_LSQ_16_RS_32_WS_064_DP_08_CM_01,11.423000,1.612903,0.144730,0.008983
233_LSQ_16_RS_32_WS_064_DP_08_CM_04,11.697800,1.234568,0.128338,0.006126
234_LSQ_16_RS_32_WS_064_DP_08_CM_08,11.697100,1.234568,0.128391,0.006132